Entry	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
P96379	dATP catabolic process [GO:0046061]; dGTP catabolic process [GO:0006203]; dTTP catabolic process [GO:0046076]; dUTP catabolic process [GO:0046081]; protein homotetramerization [GO:0051289]; response to oxidative stress [GO:0006979]; TTP catabolic process [GO:0046047]; UTP catabolic process [GO:0046052]	8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]; ATP binding [GO:0005524]; ATP diphosphatase activity [GO:0047693]; magnesium ion binding [GO:0000287]; nucleoside triphosphate diphosphatase activity [GO:0047429]	peptidoglycan-based cell wall [GO:0009274]
P96809	lipid metabolic process [GO:0006629]	oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	cell envelope [GO:0030313]; plasma membrane [GO:0005886]
P96855	cholesterol catabolic process [GO:0006707]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	FAD binding [GO:0071949]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]	plasma membrane [GO:0005886]
P96890	carbon fixation [GO:0015977]; fatty acid biosynthetic process [GO:0006633]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]; propionyl-CoA carboxylase activity [GO:0004658]	acetyl-CoA carboxylase complex [GO:0009317]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WF09	negative regulation of DNA-templated transcription [GO:0045892]; RNA catabolic process [GO:0006401]	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; hydrolase activity [GO:0016787]	
P9WF39	cell redox homeostasis [GO:0045454]; negative regulation of DNA-templated transcription [GO:0045892]	4 iron, 4 sulfur cluster binding [GO:0051539]; dinitrosyl-iron complex binding [GO:0035731]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; protein-disulfide reductase [NAD(P)H] activity [GO:0047134]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]
P9WF41	Actinobacterium-type cell wall biogenesis [GO:0071766]; cell redox homeostasis [GO:0045454]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of lipid metabolic process [GO:0019216]; response to host redox environment [GO:0075137]	4 iron, 4 sulfur cluster binding [GO:0051539]; dinitrosyl-iron complex binding [GO:0035731]; DNA binding [GO:0003677]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; protein-disulfide reductase [NAD(P)H] activity [GO:0047134]; protein-disulfide reductase activity [GO:0015035]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]
P9WF43	cell redox homeostasis [GO:0045454]; negative regulation of DNA-templated transcription [GO:0045892]; response to nitric oxide [GO:0071731]	4 iron, 4 sulfur cluster binding [GO:0051539]; dinitrosyl-iron complex binding [GO:0035731]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; protein-disulfide reductase [NAD(P)H] activity [GO:0047134]; protein-disulfide reductase activity [GO:0015035]	cytoplasm [GO:0005737]
P9WF97	negative regulation of growth [GO:0045926]; response to hypoxia [GO:0001666]	hydrolase activity [GO:0016787]; magnesium ion binding [GO:0000287]; RNA nuclease activity [GO:0004540]	
P9WFD7	dormancy entry of symbiont in host [GO:0085014]; regulation of growth [GO:0040008]; response to hypoxia [GO:0001666]	ATP binding [GO:0005524]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WFF1	cellular response to nitrogen starvation [GO:0006995]; urea catabolic process [GO:0043419]	nickel cation binding [GO:0016151]; urease activity [GO:0009039]	urease complex [GO:0035550]
P9WFF5	polyprenol biosynthetic process [GO:0016094]	magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; prenyltransferase activity [GO:0004659]; Z-farnesyl diphosphate synthase activity [GO:0033850]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WFF7	polyprenol biosynthetic process [GO:0016094]	all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity [GO:0052923]; ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific] activity [GO:0008834]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; Z-farnesyl diphosphate synthase activity [GO:0033850]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WFK7	aminoglycoside antibiotic catabolic process [GO:0030649]; biological process involved in interaction with host [GO:0051701]; effector-mediated defense to host-produced reactive oxygen species [GO:0033661]; response to antibiotic [GO:0046677]; symbiont-mediated perturbation of host inflammatory response [GO:0052032]; symbiont-mediated perturbation of host innate immune response [GO:0052167]; symbiont-mediated perturbation of host programmed cell death [GO:0052040]; symbiont-mediated suppression of host programmed cell death [GO:0052041]	aminoglycoside N-acetyltransferase activity [GO:0034069]; identical protein binding [GO:0042802]; N-acetyltransferase activity [GO:0008080]; protein-lysine-acetyltransferase activity [GO:0061733]	bacterial extracellular vesicle [GO:0097691]; cytosol [GO:0005829]; host cell cytoplasmic vesicle [GO:0044161]; host extracellular space [GO:0043655]
P9WFR5	capsule polysaccharide biosynthetic process [GO:0045227]; cell wall organization [GO:0071555]; glycolipid biosynthetic process [GO:0009247]	arabinosyltransferase activity [GO:0052636]; magnesium ion binding [GO:0000287]; transferase activity [GO:0016740]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	plasma membrane [GO:0005886]
P9WFR9	dTMP biosynthetic process [GO:0006231]; dTTP biosynthetic process [GO:0006235]; dUMP catabolic process [GO:0046079]; methylation [GO:0032259]; response to antibiotic [GO:0046677]	thymidylate synthase activity [GO:0004799]	cytosol [GO:0005829]
P9WFU7	lysyl-tRNA aminoacylation [GO:0006430]; phosphatidylglycerol metabolic process [GO:0046471]; phospholipid biosynthetic process [GO:0008654]; response to antibiotic [GO:0046677]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; lysine-tRNA ligase activity [GO:0004824]; magnesium ion binding [GO:0000287]; phosphatidylglycerol lysyltransferase activity [GO:0050071]; tRNA binding [GO:0000049]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WFV7	diadenosine tetraphosphate biosynthetic process [GO:0015966]; glycyl-tRNA aminoacylation [GO:0006426]; tRNA aminoacylation for protein translation [GO:0006418]	ATP binding [GO:0005524]; bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity [GO:0004081]; glycine-tRNA ligase activity [GO:0004820]; protein dimerization activity [GO:0046983]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular vesicle [GO:1903561]; microvesicle [GO:1990742]; plasma membrane [GO:0005886]
P9WFX1	catechol-containing siderophore biosynthetic process [GO:0019540]; cellular response to iron ion starvation [GO:0010106]; iron acquisition from host [GO:0044847]; L-tryptophan biosynthetic process [GO:0000162]; salicylic acid biosynthetic process [GO:0009697]	chorismate mutase activity [GO:0004106]; isochorismate pyruvate lyase activity [GO:0043904]; isochorismate synthase activity [GO:0008909]; magnesium ion binding [GO:0000287]; oxo-acid-lyase activity [GO:0016833]	plasma membrane [GO:0005886]
P9WFZ5	dephosphorylation [GO:0016311]; trehalose biosynthetic process [GO:0005992]	magnesium ion binding [GO:0000287]; trehalose-phosphatase activity [GO:0004805]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WG25	pentose-phosphate shunt [GO:0006098]	magnesium ion binding [GO:0000287]; transketolase activity [GO:0004802]	cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WG27	dormancy exit of symbiont in host [GO:0085016]; negative regulation of gene expression [GO:0010629]; positive regulation of gene expression [GO:0010628]; quorum sensing [GO:0009372]; regulation of cell population proliferation [GO:0042127]	hydrolase activity [GO:0016787]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P9WG29	dormancy exit of symbiont in host [GO:0085016]; negative regulation of gene expression [GO:0010629]; positive regulation of gene expression [GO:0010628]; quorum sensing [GO:0009372]; regulation of cell population proliferation [GO:0042127]; regulation of gene expression [GO:0010468]	hydrolase activity [GO:0016787]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P9WG35	cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; detoxification [GO:0098754]; response to nitrosative stress [GO:0051409]; response to oxidative stress [GO:0006979]	disulfide oxidoreductase activity [GO:0015036]; peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]; thioredoxin peroxidase activity [GO:0008379]	cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]
P9WG39	branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	acetolactate synthase complex [GO:0005948]
P9WG41	branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	acetolactate synthase complex [GO:0005948]; peptidoglycan-based cell wall [GO:0009274]
P9WG43	gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytosol [GO:0005829]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P9WG45	DNA topological change [GO:0006265]; DNA-templated DNA replication [GO:0006261]; response to antibiotic [GO:0046677]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; magnesium ion binding [GO:0000287]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WG47	DNA topological change [GO:0006265]; DNA-templated DNA replication [GO:0006261]; response to antibiotic [GO:0046677]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; magnesium ion binding [GO:0000287]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WG49	chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]	DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; magnesium ion binding [GO:0000287]; ribonuclease inhibitor activity [GO:0008428]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WG57	dTMP biosynthetic process [GO:0006231]; dTTP biosynthetic process [GO:0006235]; methylation [GO:0032259]	flavin adenine dinucleotide binding [GO:0050660]; NADPH binding [GO:0070402]; thymidylate synthase (FAD) activity [GO:0050797]; thymidylate synthase activity [GO:0004799]	
P9WG59	cysteine biosynthetic process [GO:0019344]; threonine biosynthetic process [GO:0009088]	pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WG67	cell redox homeostasis [GO:0045454]	disulfide oxidoreductase activity [GO:0015036]; electron transfer activity [GO:0009055]; glutathione disulfide oxidoreductase activity [GO:0015038]; protein-disulfide reductase activity [GO:0015035]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WGB7	cysteine biosynthetic process via cystathionine [GO:0019343]; L-methionine biosynthetic process from L-homoserine via cystathionine [GO:0019279]; transsulfuration [GO:0019346]	cystathionine gamma-lyase activity [GO:0004123]; cystathionine gamma-synthase activity [GO:0003962]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WGD7	SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	7S RNA binding [GO:0008312]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; signal recognition particle [GO:0048500]
P9WGD9	protein targeting [GO:0006605]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal recognition particle binding [GO:0005047]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WGE7	detoxification [GO:0098754]; response to oxidative stress [GO:0006979]	iron ion binding [GO:0005506]; superoxide dismutase activity [GO:0004784]	cytosol [GO:0005829]; extracellular region [GO:0005576]; periplasmic space [GO:0042597]; plasma membrane [GO:0005886]
P9WGE9	cell redox homeostasis [GO:0045454]; removal of superoxide radicals [GO:0019430]; response to host [GO:0075136]; response to hydroperoxide [GO:0033194]; response to oxidative stress [GO:0006979]; symbiont-mediated detoxification of host-generated reactive oxygen species [GO:0141082]	superoxide dismutase activity [GO:0004784]	extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WGG1	carbohydrate metabolic process [GO:0005975]; D-glycero-D-manno-heptose 7-phosphate biosynthetic process [GO:2001061]; positive regulation of DNA-templated DNA replication initiation [GO:0032298]	carbohydrate derivative binding [GO:0097367]; D-sedoheptulose 7-phosphate isomerase activity [GO:0008968]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; DnaA-DiaA complex [GO:1990102]
P9WGG3	DNA repair [GO:0006281]; protein auto-ADP-ribosylation [GO:0070213]; protein deacetylation [GO:0006476]	NAD+ binding [GO:0070403]; NAD+ poly-ADP-ribosyltransferase activity [GO:0003950]; NAD-dependent protein lysine deacetylase activity [GO:0034979]; protein-malonyllysine demalonylase activity [GO:0036054]; protein-succinyllysine desuccinylase activity [GO:0036055]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]
P9WGG7	biological process involved in interaction with host [GO:0051701]; DNA-templated transcription initiation [GO:0006352]; regulation of DNA-templated transcription [GO:0006355]; response to heat [GO:0009408]; response to xenobiotic stimulus [GO:0009410]	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]	
P9WGH1	DNA-templated transcription initiation [GO:0006352]; regulation of DNA-templated transcription [GO:0006355]; response to heat [GO:0009408]; response to hypoxia [GO:0001666]; response to water [GO:0009415]; response to xenobiotic stimulus [GO:0009410]	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]	
